Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](TimeStep),Outdoor CO2 Dummy,OccSim_DummyOccSch,ZONE 1:Zone Mean Air Temperature [C](TimeStep),ZONE 2:Zone Mean Air Temperature [C](TimeStep),ZONE 3:Zone Mean Air Temperature [C](TimeStep),ZONE 4:Zone Mean Air Temperature [C](TimeStep),ZONE 1:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 2:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 3:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 4:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 1:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 2:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 3:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 4:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 1 INLET:System Node Mass Flow Rate [kg/s](TimeStep),ZONE 2 INLET:System Node Mass Flow Rate [kg/s](TimeStep),ZONE 3 INLET:System Node Mass Flow Rate [kg/s](TimeStep),ZONE 4 INLET:System Node Mass Flow Rate [kg/s](TimeStep),ZONE 1 INLET:System Node Temperature [C](TimeStep),ZONE 2 INLET:System Node Temperature [C](TimeStep),ZONE 3 INLET:System Node Temperature [C](TimeStep),ZONE 4 INLET:System Node Temperature [C](TimeStep),ZONE 1 INLET:System Node Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 2 INLET:System Node Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 3 INLET:System Node Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 4 INLET:System Node Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 1 INLET:System Node CO2 Concentration [ppm](TimeStep),ZONE 2 INLET:System Node CO2 Concentration [ppm](TimeStep),ZONE 3 INLET:System Node CO2 Concentration [ppm](TimeStep),ZONE 4 INLET:System Node CO2 Concentration [ppm](TimeStep) 
 08/01  10:40:00,32.8,0.015284751,391.8606497,0.272727,23.89,23.89,23.89,23.89,0.01190969,0.01118213,0.011714058,0.011308781,696.7993548,690.8767162,492.498561,491.0893793,0.423659299,0.72332131,0.384326672,0.476475573,13,13,13,13,0.009,0.009,0.009,0.009,682.4359351,676.7978204,486.4827573,485.0940249
 08/01  10:50:00,33.35,0.014787051,386.8604936,0.545455,23.89,23.89,23.89,23.89,0.011885196,0.011143497,0.011656957,0.011262807,710.5330641,704.3477255,500.1683326,498.7348648,0.430460501,0.736341293,0.450351267,0.543233746,13,13,13,13,0.009,0.009,0.009,0.009,696.7993548,690.8767162,492.498561,491.0893793
 08/01  11:00:00,33.9,0.01424185,387.8603376,0.545455,23.89,23.89,23.89,23.89,0.01186315,0.011108975,0.011604611,0.01122217,723.7040365,717.2776017,509.1159679,507.6473307,0.437272965,0.749192565,0.466690069,0.560378111,13,13,13,13,0.009,0.009,0.009,0.009,710.5330641,704.3477255,500.1683326,498.7348648
 08/01  11:10:00,34.18333333,0.013902469,391.8601816,0.363636,23.89,23.89,23.89,23.89,0.011842341,0.011077085,0.011550979,0.01117946,736.4471563,729.798354,515.8701017,514.3744313,0.440880624,0.758277901,0.446347041,0.540914948,13,13,13,13,0.009,0.009,0.009,0.009,723.7040365,717.2776017,509.1159679,507.6473307
 08/01  11:20:00,34.46666667,0.013548343,389.8600257,0.272727,23.89,23.89,23.89,23.89,0.011822012,0.011046908,0.011494273,0.011132605,748.7138455,741.861023,519.6014863,518.1049859,0.44450462,0.767105057,0.442688872,0.538240403,13,13,13,13,0.009,0.009,0.009,0.009,736.4471563,729.798354,515.8701017,514.3744313
 08/01  11:30:00,34.75,0.01317918,382.8598697,0.181818,23.89,23.89,23.89,23.89,0.011801839,0.011018071,0.011434563,0.011081821,760.3553647,753.32071,520.3647883,518.9007693,0.448404535,0.77576557,0.439107601,0.535723035,13,13,13,13,0.009,0.009,0.009,0.009,748.7138455,741.861023,519.6014863,518.1049859
 08/01  11:40:00,35.03333333,0.012794679,386.8597137,0.363636,23.89,23.89,23.89,23.89,0.011781741,0.010990553,0.011378159,0.011034735,771.5383509,764.3429961,522.5089995,521.0829771,0.452333139,0.78354949,0.485658406,0.583436212,13,13,13,13,0.009,0.009,0.009,0.009,760.3553647,753.32071,520.3647883,518.9007693
 08/01  11:50:00,35.31666667,0.012394542,385.8595578,0.272727,23.89,23.89,23.89,23.89,0.011761703,0.010964359,0.011323024,0.010988869,782.2925789,774.9558743,524.6396448,523.2483309,0.456373595,0.791063616,0.481881629,0.580838304,13,13,13,13,0.009,0.009,0.009,0.009,771.5383509,764.3429961,522.5089995,521.0829771
 08/01  12:00:00,35.6,0.011978469,391.8594018,0.0909091,23.89,23.89,23.89,23.89,0.011741618,0.010939219,0.011264586,0.010938842,792.7652188,785.301294,524.0256629,522.6835356,0.460995588,0.800110157,0.461917742,0.562078578,13,13,13,13,0.009,0.009,0.009,0.009,782.2925789,774.9558743,524.6396448,523.2483309
 08/01  12:10:00,35.96666667,0.011600122,388.8592459,0.181818,23.89,23.89,23.89,23.89,0.011713962,0.010902944,0.011207597,0.010890061,796.1937014,788.7670737,523.0027514,521.7206993,0.377200247,0.720427725,0.48900853,0.590423355,13,13,13,13,0.009,0.009,0.009,0.009,792.7652188,785.301294,524.0256629,522.6835356
