Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](TimeStep),Outdoor CO2 Dummy,OccSim_DummyOccSch,ZONE 1:Zone Mean Air Temperature [C](TimeStep),ZONE 2:Zone Mean Air Temperature [C](TimeStep),ZONE 3:Zone Mean Air Temperature [C](TimeStep),ZONE 4:Zone Mean Air Temperature [C](TimeStep),ZONE 1:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 2:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 3:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 4:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 1:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 2:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 3:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 4:Zone Air CO2 Concentration [ppm](TimeStep) 
 08/08  00:50:00,24.4,0.018162572,390.7176549,0,19.93354075,20.92342997,20.73705516,21.43953411,0.00777529,0.007774705,0.007751825,0.007751746,395.936304,395.7657053,389.3937412,389.3723734
 08/08  01:00:00,24.4,0.018162572,386.7175099,0,19.92388806,20.87314578,20.68292497,21.3823722,0.007812957,0.007812579,0.007793274,0.007793299,394.6292011,394.4814481,389.1100756,389.0914545
 08/08  01:10:00,24.5,0.018141443,390.7173649,0,19.90922371,20.82610806,20.63139256,21.32723712,0.007851372,0.007851168,0.007834875,0.007834987,393.8007055,393.6737592,389.1454866,389.1298802
 08/08  01:20:00,24.6,0.018119302,381.7172199,0,19.88831205,20.78086434,20.5816058,21.27357456,0.007885233,0.007885158,0.007871406,0.00787158,392.5078103,392.3972101,388.579857,388.5655035
 08/08  01:30:00,24.7,0.018096141,381.717075,0,19.86312773,20.73685538,20.53319453,21.22114664,0.007913438,0.007913452,0.007901845,0.007902058,390.9749209,390.8774615,387.6595735,387.6454876
 08/08  01:40:00,24.8,0.018071949,383.71693,0,19.83589441,20.69390202,20.48602534,21.16986055,0.007936707,0.007936782,0.007926984,0.007927217,389.6801062,389.5944047,386.8818174,386.868254
 08/08  01:50:00,24.9,0.018046716,391.7167851,0,19.80789722,20.65195302,20.44002181,21.11966706,0.007956063,0.007956178,0.007947908,0.007948148,389.3544576,389.2813026,386.994282,386.9830687
 08/08  02:00:00,25,0.018020434,390.7166401,0,19.77965806,20.61092927,20.39511392,21.0705138,0.007972316,0.007972454,0.007965474,0.007965713,389.4961082,389.4348336,387.506378,387.4980329
 08/08  02:10:00,24.9,0.018046716,383.7164952,0,19.74538453,20.5691738,20.35023927,21.02167995,0.007982031,0.007982172,0.007976282,0.007976506,389.1410581,389.088541,387.462677,387.4555927
 08/08  02:20:00,24.8,0.018071949,382.7163503,0,19.70399086,20.52577911,20.30476619,20.97271881,0.007983649,0.007983772,0.007978805,0.007978999,388.3640913,388.3178277,386.9473579,386.9403147
